о,0.10607471474100134
е,0.0821049050940211
а,0.08036776086839842
и,0.07977309760439355
н,0.06719308679558825
т,0.05828381589673569
с,0.057069421922960197
р,0.0538024551515306
в,0.047453759972744945
л,0.043219980287786564
к,0.03486027159690161
м,0.031089860990595148
д,0.029539903102811363
п,0.02822935006043711
у,0.022825802709782222
я,0.01997498643435968
ы,0.019111193827779187
г,0.018766858380065393
з,0.016080116506163235
б,0.015490709380267972
ь,0.013852738495995076
й,0.013597278880345372
ч,0.012322595683708366
х,0.010204066830420801
ж,0.008043752621122098
ю,0.006283775279410367
ц,0.005783417306262376
ш,0.005460803461560685
ф,0.004093510502489252
щ,0.003401150890782593
э,0.0030949723682558872
ё,0.002214341280519959
ъ,0.0003355450748036055
